jurisdiction_of_occurrence,non_covid_excess_upto_03/07/2020_per_100k,non_covid_excess_upto_03/14/2020_per_100k,non_covid_excess_upto_03/21/2020_per_100k,non_covid_excess_upto_03/28/2020_per_100k,non_covid_excess_upto_04/04/2020_per_100k,non_covid_excess_upto_04/11/2020_per_100k,non_covid_excess_upto_04/18/2020_per_100k,non_covid_excess_upto_04/25/2020_per_100k,non_covid_excess_upto_05/02/2020_per_100k,non_covid_excess_upto_05/09/2020_per_100k,non_covid_excess_upto_05/16/2020_per_100k,non_covid_excess_upto_05/23/2020_per_100k,non_covid_excess_upto_05/30/2020_per_100k,non_covid_excess_upto_06/06/2020_per_100k,non_covid_excess_upto_06/13/2020_per_100k,non_covid_excess_upto_06/20/2020_per_100k,non_covid_excess_upto_06/27/2020_per_100k,non_covid_excess_upto_07/04/2020_per_100k,non_covid_excess_upto_07/11/2020_per_100k,non_covid_excess_upto_07/18/2020_per_100k,non_covid_excess_upto_07/25/2020_per_100k,non_covid_excess_upto_08/01/2020_per_100k
Nebraska,-0.28709521747569056,0.17043759241454598,-0.23263695216749547,1.5020097692264192,0.4994827891503535,-1.1812459680911405,-1.5470905272382298,-0.6307307919021126,-0.2192721398498909,-0.4450314901046085,-0.17607052303448706,0.35967132737137536,0.9430893599713193,3.3018299800232427,2.6282207626819227,1.8857728190503709,4.028356795428321,3.1463592242823575,1.9865989916635605,1.8441390649039962,3.498695131292702,5.548870080972362
Nevada,0.013468480502596792,0.23148415114240797,-0.5362485885007,-0.7238089884908314,-0.013935675994795726,1.3291093713266233,2.1550545626942124,1.8376306103385516,1.5491410158118364,2.1614428299468695,2.2504244568015888,2.7999750141752915,3.820367865917468,4.7549742074580355,6.557076560988532,7.615326123568144,7.846451351972457,8.666845107125088,8.690386676154423,11.020691758068669,13.524589766338657,16.55180796188896
New Hampshire,-0.6781972092477452,0.7558872986017605,1.4201289180124461,2.388329226272467,4.4357232895009915,3.321609578940859,5.519886398887528,4.293410371355613,6.147311724433235,5.690381748200444,7.059770794573185,9.438601232375403,10.582001419289014,10.264911445752364,12.01846062425608,16.784827995243354,16.300755608904293,16.632631903843805,17.552236406711327,19.828483056048203,19.519907385502425,22.689737269889992
New Jersey,0.8486555791943677,0.8528733817602735,0.9676150777252791,1.879391102470989,6.671091531100591,16.297131048378148,28.415917820042555,39.068942453691996,46.882725919966475,51.053246914928955,53.79854379684867,56.20842292203462,57.4653892706234,58.2743156150215,58.14871760503614,57.7687077619456,57.449598458067804,57.499677689862594,57.26596737141334,57.32962784615212,56.98123900197764,57.04943279114805
New Mexico,0.8113968155445023,1.7948403417709555,-0.11245240213857155,0.795423145953154,0.6257199731326576,2.22108452103111,3.5112860928605034,5.212687523899625,5.941649890554382,5.66840213073991,6.893590793486695,10.752941038034546,12.18990439152506,13.853870754957352,17.235114086141387,20.20645355211197,23.05533151359343,25.00654085405831,29.171353150212827,30.60652205047773,32.176900744892954,34.510735184633106
New York,0.6906074830696155,0.8921001625409746,1.3377693529396717,3.1453763021650687,9.131418143187524,24.113484411547873,39.74158498185454,49.346642677264555,54.092847695276795,56.3181587726528,57.76250515353973,58.56070728163552,58.184609073271005,58.47351045906449,58.16093196979508,57.91713683002688,57.59827868769931,58.35147335300807,58.28738293635567,58.88059995250388,58.77271106186646,58.89152465953795
North Carolina,-0.010971182155372194,0.6233450151295599,1.9397234442037523,3.3749936968308947,3.2938856369946894,4.436237778518972,5.437229123185023,6.687742229679262,9.03345390018696,9.224294060076536,10.801637380576429,12.943682215732307,14.857018232451587,15.848315376436359,16.549094734737956,16.680906268740795,17.447061746562497,18.007641889401597,18.804307134025215,18.753554515734493,16.901461236558823,11.21628189458433
North Dakota,2.131159041097652,6.201451150964225,7.993655200881191,9.149686212890328,6.422816508441581,4.812970150554141,7.415234017486606,9.991994833272255,11.863488783981694,13.497113032313708,13.19067729609279,13.828305043109516,14.94074527909709,14.370936789351926,17.579236064125357,18.95319522206916,20.857607550197486,20.841901450215648,19.360947854651727,20.50445263649017,22.07176380500583,22.34771425704708
Ohio,-0.10024629035872894,-0.0009146202768810369,1.1594726976244174,1.835113902346467,2.225429462363567,1.9710451338238848,2.2001609843809673,2.636896891449272,5.053008293243128,6.149640204263068,6.5035070243238,8.504020455759164,10.198047965973208,11.56088937476869,13.165638365078832,13.995835675632634,14.657969504013936,15.710670469344453,17.19930428192134,18.207968751040994,20.212730400419755,21.342871444653095
Oklahoma,-0.5499764043818837,-1.4358952431934036,-1.6855266213085323,-0.887912042250066,1.4639594345653482,1.4917493764776626,2.827196689152986,3.1197342491691726,2.2181703331247498,-0.17198041898904926,0.9009125605655415,0.35746564568125483,2.248609236915391,2.676308166028522,4.641124404739541,5.501052393104618,6.101343290115001,7.236654177971323,8.502325637069298,8.76974620586303,9.515189112844038,13.062116435127644
Oregon,-0.3516802337931891,0.2578239685773604,0.114685459924393,1.0411994420709858,1.8373675392301303,2.608816575356634,3.182419242166941,3.4287277244539767,4.5021531708841955,4.381227276032871,3.773398761451483,3.9313385933218576,5.101116123223363,6.317003425805565,6.699134778903682,7.216249387231006,7.614106704043425,7.315621606205187,9.088436173505471,9.017958064983139,10.365817343431694,11.314954890456727
